latorigem,lonorigem,ticketdate,tickettime,usercard,busid,cardtype,sense,valor,route,val,projectid,feed_id,typecard,latdestino,londestino,feed_idstop_id,company,periodrange,tickettimerange,trafficzoneidorign,trafficzoneiddestination,totalcapacity,ticketmonth,ticketdateusercardtickettime,grididorign,grididdestination,validationorder,travelleddistance,ticketdatetime,startoperation,endoperation,stop_idorigem,stop_iddestino,tickettimehour,motive,status
-19.464628,-44.248043,2023-07-26,17:35:42,1015094592,12012,URBANO - VALE TRANSPORTE, ,4.25,015,,688,775873S47082P16:35:00,Vale Transporte,-19.420944,-44.19054,775873S47082P16:35:006116517,,Pico Tarde,17:30:00,1.0,1,,7,2023-07-26101509459217:35:42,200ME60166N91460,200ME60166N91460,2,,2023-07-26 17:35:42,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116517.0,17,casa,
-19.412552,-44.18713,2023-07-26,14:06:40,1018478246,14191,URBANO - VALE TRANSPORTE, ,4.25,034,,688,775916S47082P13:55:00,Vale Transporte,-19.460136,-44.241116,775916S47082P13:55:006415670,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,14:00:00,92.0,3,0.0,7,2023-07-26101847824614:06:40,200ME60230N91516,200ME60172N91464,1,,2023-07-26 14:06:40,2023-07-26 04:30:00,2023-07-27 04:29:59,6415670.0,6116065.0,14,transferencia,
-19.460136,-44.241116,2023-07-26,14:33:20,1018478246,16204,URBANO - VALE TRANSPORTE, ,2.12,006,,688,801287S47082P14:10:00,Vale Transporte,-19.472502,-44.269913,801287S47082P14:10:006116065,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,14:30:00,3.0,61,0.0,7,2023-07-26101847824614:33:20,200ME60172N91464,200ME60142N91452,2,,2023-07-26 14:33:20,2023-07-26 04:30:00,2023-07-27 04:29:59,6116065.0,6116401.0,14,trabalho,
-19.472502,-44.269913,2023-07-26,22:19:16,1018478246,12169,URBANO - VALE TRANSPORTE, ,4.25,019,,688,804621S47082P21:10:00,Vale Transporte,-19.464649,-44.247963,804621S47082P21:10:006116401,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Noite,22:00:00,61.0,1,0.0,7,2023-07-26101847824622:19:16,200ME60142N91452,200ME60166N91460,3,,2023-07-26 22:19:16,2023-07-26 04:30:00,2023-07-27 04:29:59,6116401.0,6116517.0,22,transferencia,
-19.464649,-44.247963,2023-07-26,22:35:04,1018478246,14192,URBANO - VALE TRANSPORTE, ,2.12,015,,688,775873S47082P21:30:00,Vale Transporte,-19.412552,-44.18713,775873S47082P21:30:006116517,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Madrugada,22:30:00,1.0,3,0.0,7,2023-07-26101847824622:35:04,200ME60166N91460,200ME60172N91464,4,,2023-07-26 22:35:04,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116065.0,22,casa,
-19.432934,-44.205177,2023-07-26,09:24:40,1018478838,16214,URBANO - SENIOR, ,0.0,034,,688,775916S47082P09:00:00,Gratuito Idoso,-19.467827,-44.24498,775916S47082P09:00:006397232,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,09:00:00,76.0,10,0.0,7,2023-07-26101847883809:24:40,200ME60212N91494,200ME60168N91456,1,,2023-07-26 09:24:40,2023-07-26 04:30:00,2023-07-27 04:29:59,6397232.0,,09,outros motivos,
-19.456505,-44.243202,2023-07-26,13:18:00,1018496758,14227,URBANO - VALE TRANSPORTE, ,4.25,019,,688,804622S47082P12:55:00,Vale Transporte,-19.422592,-44.252331,804622S47082P12:55:006116567,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,13:00:00,4.0,4,0.0,7,2023-07-26101849675813:18:00,200ME60170N91468,200ME60170N91468,2,,2023-07-26 13:18:00,2023-07-26 04:30:00,2023-07-27 04:29:59,6116567.0,6116567.0,13,casa,
-19.459864,-44.241302,2023-07-26,05:24:32,1018499414,1905,URBANO - EMPRESARIAL, ,0.0,004,,688,920876S47082P05:15:00,Gratuito Outros,-19.43701,-44.203396,920876S47082P05:15:006116065,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Madrugada,05:00:00,3.0,3,0.0,7,2023-07-26101849941405:24:32,200ME60172N91464,200ME60172N91464,2,,2023-07-26 05:24:32,2023-07-26 04:30:00,2023-07-27 04:29:59,6116065.0,6116065.0,05,casa,
-19.464602,-44.247971,2023-07-26,17:30:34,1018518310,14217,URBANO - VALE TRANSPORTE, ,4.25,007,,688,775994S47082P17:10:00,Vale Transporte,-19.460691,-44.241215,775994S47082P17:10:006116517,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,17:30:00,1.0,3,0.0,7,2023-07-26101851831017:30:34,200ME60166N91460,200ME60172N91464,1,,2023-07-26 17:30:34,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116063.0,17,transferencia,
-19.460691,-44.241215,2023-07-26,17:47:56,1018518310,14203,URBANO - VALE TRANSPORTE, ,2.12,001,,688,794458S47082P17:15:00,Vale Transporte,-19.464602,-44.247971,794458S47082P17:15:006116063,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,17:30:00,3.0,3,0.0,7,2023-07-26101851831017:47:56,200ME60172N91464,200ME60172N91464,2,,2023-07-26 17:47:56,2023-07-26 04:30:00,2023-07-27 04:29:59,6116063.0,6116063.0,17,casa,
